Ro	Time	E_SvFs	E
0.7	2.807	0.701721744962	0.701721744962
0.72	2.807	0.693043328595	0.693043328595
0.74	2.807	0.682575433992	0.682575433992
0.76	2.807	0.672080866795	0.672080866795
0.78	2.807	0.660809331856	0.660809331856
0.8	2.807	0.649254382568	0.649254382568
0.82	2.807	0.637283795175	0.637283795175
0.84	2.807	0.625250204089	0.625250204089
0.86	2.807	0.613035623144	0.613035623144
0.88	2.807	0.60145891905	0.60145891905
0.9	2.807	0.5898889782	0.5898889782
0.92	2.807	0.579570295078	0.579570295078
0.94	2.807	0.564449706407	0.564449706407
0.96	2.807	0.544376224451	0.544376224451
0.98	2.807	0.526121071526	0.526121071526
1.0	2.807	0.507143747464	0.507143747464
0.0	2.808	0.770144002518	0.770144002518
0.02	2.808	0.773940000132	0.773940000132
0.04	2.808	0.776748228906	0.776748228906
0.06	2.808	0.779939717113	0.779939717113
0.08	2.808	0.782861292999	0.782861292999
0.1	2.808	0.78596699484	0.78596699484
0.12	2.808	0.78899832634	0.78899832634
0.14	2.808	0.792145175145	0.792145175145
0.16	2.808	0.794967435989	0.794967435989
0.18	2.808	0.797880000136	0.797880000136
0.2	2.808	0.799483466507	0.799483466507
0.22	2.808	0.801116804032	0.801116804032
0.24	2.808	0.802303071466	0.802303071466
0.26	2.808	0.803400247825	0.803400247825
0.28	2.808	0.80419094063	0.80419094063
0.3	2.808	0.804658755416	0.804658755416
0.32	2.808	0.804756794285	0.804756794285
0.34	2.808	0.804447841059	0.804447841059
0.36	2.808	0.803705015567	0.803705015567
0.38	2.808	0.802498646868	0.802498646868
0.4	2.808	0.800803990148	0.800803990148
0.42	2.808	0.798595277318	0.798595277318
0.44	2.808	0.795848924682	0.795848924682
0.46	2.808	0.79254066885	0.79254066885
0.48	2.808	0.788649476127	0.788649476127
0.5	2.808	0.784150543167	0.784150543167
0.52	2.808	0.779031067522	0.779031067522
0.54	2.808	0.773256805	0.773256805
0.56	2.808	0.766848284669	0.766848284669
0.58	2.808	0.759713659661	0.759713659661
0.6	2.808	0.752027969669	0.752027969669
0.62	2.808	0.743384514273	0.743384514273
0.64	2.808	0.734753390803	0.734753390803
0.66	2.808	0.72396426791	0.72396426791
0.68	2.808	0.717099999821	0.717099999821
0.7	2.808	0.703802124953	0.703802124953
0.72	2.808	0.694478449107	0.694478449107
0.74	2.808	0.683093715645	0.683093715645
0.76	2.808	0.671877157545	0.671877157545
0.78	2.808	0.659904958231	0.659904958231
0.8	2.808	0.647678517447	0.647678517447
0.82	2.808	0.635050788921	0.635050788921
0.84	2.808	0.622333384067	0.622333384067
0.86	2.808	0.609426957444	0.609426957444
0.88	2.808	0.596951790184	0.596951790184
0.9	2.808	0.584518126926	0.584518126926
0.92	2.808	0.572560155023	0.572560155023
0.94	2.808	0.557139845033	0.557139845033
0.96	2.808	0.538112500588	0.538112500588
