Ro	Time	T_SvFs	T
0.7	2.821	1.29464999947	1.29465
1.0	2.821	3.35731442647e-12	0.0
0.02	2.822	4.18589000029	4.18589
0.19	2.822	3.95616000031	3.95616
0.28	2.822	3.4583599991	3.45836
0.36	2.822	3.0525699961	3.05257
0.43	2.822	2.53573000178	2.53573
0.58	2.822	1.84508999869	1.84509
0.64	2.822	1.50619999908	1.5062
0.7	2.822	1.2995299996	1.29953
1.0	2.822	-3.40794059639e-12	0.0
0.02	2.823	4.19952000189	4.19952
0.19	2.823	3.96753999886	3.96754
0.28	2.823	3.46520000018	3.4652
0.36	2.823	3.04927999603	3.04928
0.43	2.823	2.53142999933	2.53143
0.58	2.823	1.84508999812	1.84509
0.64	2.823	1.50721000224	1.50721
0.7	2.823	1.30594999995	1.30595
1.0	2.823	-5.05506747572e-12	0.0
0.02	2.824	4.21892999875	4.21893
0.19	2.824	3.97467000075	3.97467
0.28	2.824	3.46322000063	3.46322
0.36	2.824	3.03419999781	3.0342
0.43	2.824	2.51739000306	2.51739
0.58	2.824	1.84497999833	1.84498
0.64	2.824	1.51099000351	1.51099
0.7	2.824	1.31669999816	1.3167
1.0	2.824	-1.32338584535e-13	0.0
0.02	2.825	4.22845000184	4.22845
0.19	2.825	3.98372000024	3.98372
0.28	2.825	3.45515000366	3.45515
0.36	2.825	3.01657999886	3.01658
0.43	2.825	2.50566000235	2.50566
0.58	2.825	1.84656000029	1.84656
0.64	2.825	1.52236000155	1.52236
0.7	2.825	1.32549999995	1.3255
1.0	2.825	1.03241859506e-11	0.0
0.02	2.826	4.24009999799	4.2401
0.19	2.826	3.99336999538	3.99337
0.28	2.826	3.4545900019	3.45459
0.36	2.826	3.00310999806	3.00311
0.43	2.826	2.49676000107	2.49676
0.58	2.826	1.85651999818	1.85652
0.64	2.826	1.53424999992	1.53425
0.7	2.826	1.3386199987	1.33862
1.0	2.826	2.35638175639e-11	0.0
0.02	2.827	4.23459999983	4.2346
0.19	2.827	3.98876999897	3.98877
0.28	2.827	3.4536300023	3.45363
0.36	2.827	2.99031999894	2.99032
0.43	2.827	2.48797000131	2.48797
0.58	2.827	1.86502999747	1.86503
0.64	2.827	1.53896000281	1.53896
0.7	2.827	1.3485000009	1.3485
1.0	2.827	3.70072861244e-11	0.0
0.02	2.828	4.22099000076	4.22099
